7,8626.2998046875,8787.0,-126.050003051758,664.650024414063,2317.19995117188,757.659973144531,60.0,4392.5,404.600006103516,36.0,-0.159999996423721,-935.029968261719,914.150024414063,-95.4909973144531,"2024-09-10 12:30:00"
19,7129.5,6943.10009765625,193.289993286133,522.679992675781,2588.69995117188,746.0,56.1689987182617,3169.0,0.0,45.0,0.0,-720.440002441406,1030.30004882813,-100.809997558594,"2024-09-11 00:30:00"
31,7479.5,8314.7998046875,-841.909973144531,1520.09997558594,2736.69995117188,677.0,159.169998168945,1970.0,412.100006103516,42.0,56.8699989318848,-1056.43994140625,332.309997558594,-92.7369995117188,"2024-09-11 12:30:00"
43,7737.7998046875,7206.0,538.359985351563,468.660003662109,2896.30004882813,639.5,87.0,3603.0,0.0,47.0,-0.00999999977648258,-412.380004882813,1030.5,-89.7060012817383,"2024-09-12 00:30:00"
55,7134.7001953125,8150.60009765625,-1011.70001220703,1807.30004882813,2898.5,719.330017089844,269.829986572266,994.5,388.0,54.0120010375977,142.929992675781,-1041.13000488281,117.599998474121,-95.9169998168945,"2024-09-12 12:30:00"
67,5735.2001953125,6601.7001953125,-884.450012207031,1487.80004882813,2895.19995117188,892.5,258.170013427734,152.0,0.0,48.0,130.0,-1040.44995117188,228.350006103516,-97.4570007324219,"2024-09-13 00:30:00"
79,6809.2998046875,8241.900390625,-1441.40002441406,2080.30004882813,2885.80004882813,913.169982910156,398.0,199.990005493164,267.799987792969,49.0,220.070007324219,-1027.64990234375,-374.290008544922,-57.1030006408691,"2024-09-13 12:30:00"
91,6188.7001953125,6673.0,-496.709991455078,887.169982910156,2904.19995117188,678.0,113.0,1560.5,0.0,46.0,47.9099998474121,-865.780029296875,429.049987792969,-61.1459999084473,"2024-09-14 00:30:00"
103,7198.2001953125,7797.5,-602.760009765625,1724.5,2876.19995117188,648.830017089844,220.830001831055,1414.0,256.5,56.0,62.4300003051758,-1138.0400390625,583.0,-34.8569984436035,"2024-09-14 12:30:00"
115,7610.39990234375,6839.5,765.969970703125,806.830017089844,2908.80004882813,672.659973144531,117.0,3048.39990234375,0.0,51.0,44.7700004577637,-252.000030517578,1030.5,-7.06790018081665,"2024-09-15 00:30:01"
127,6778.89990234375,7482.7001953125,-687.619995117188,1537.5,2893.5,701.830017089844,157.169998168945,1029.0,432.5,49.0,75.0299987792969,-845.149963378906,137.800003051758,10.6850004196167,"2024-09-15 12:30:00"
139,6489.10009765625,6976.2001953125,-490.709991455078,1469.69995117188,2905.0,800.830017089844,204.169998168945,1047.0,0.0,62.0,64.4000015258789,-1041.28002929688,520.549987792969,8.7677001953125,"2024-09-16 00:30:00"
151,6882.0,7963.0,-1084.19995117188,2027.80004882813,2907.30004882813,826.169982910156,425.170013427734,326.059997558594,334.200012207031,47.0,121.589996337891,-555.02001953125,-577.47998046875,18.6870002746582,"2024-09-16 12:30:00"
161,7322.7001953125,6696.0,640.190002441406,1234.0,2882.69995117188,750.830017089844,273.170013427734,2134.5,0.0,49.0,56.0299987792969,-357.539978027344,1030.0,-52.7719993591309,"2024-09-17 00:30:00"
173,6731.2001953125,8236.599609375,-1488.0,1960.0,2884.0,718.169982910156,402.989990234375,384.0,328.0,45.0,85.3000030517578,-907.739990234375,-610.239990234375,4.66480016708374,"2024-09-17 12:30:00"
185,7054.2001953125,6938.5,124.110000610352,1218.0,2876.5,612.669982910156,174.0,2116.5,0.0,56.0,22.2000007629395,-923.430053710938,1025.09997558594,2.34660005569458,"2024-09-18 00:30:00"
197,7875.7001953125,8538.599609375,-640.780029296875,1539.0,2846.80004882813,646.5,175.830001831055,2232.5,397.700012207031,42.0,37.2099990844727,-1127.65991210938,531.960021972656,-75.9810028076172,"2024-09-18 12:30:00"
208,6685.2001953125,6996.10009765625,-315.989990234375,1467.30004882813,2896.0,734.5,216.0,1312.5,0.0,60.0,72.3099975585938,-957.819946289063,714.989990234375,-95.5920028686523,"2024-09-19 00:30:00"
220,7914.2998046875,8275.5,-336.619995117188,1058.0,2892.0,627.0,149.339996337891,2703.5,457.700012207031,51.0,12.5299997329712,-507.989990234375,203.279998779297,-55.5120010375977,"2024-09-19 12:30:00"
231,8507.400390625,7163.0,1352.09997558594,762.669982910156,2915.80004882813,620.659973144531,128.0,4030.0,0.0,52.0,11.2299995422363,383.917022705078,1029.80004882813,-76.072998046875,"2024-09-20 00:30:00"
243,7570.89990234375,8335.7001953125,-728.489990234375,1453.30004882813,2911.80004882813,664.169982910156,199.0,1891.0,434.899993896484,38.0,37.6500015258789,-468.150024414063,-245.259994506836,-29.2399997711182,"2024-09-20 12:30:05"
255,8531.7001953125,7287.7001953125,1240.59997558594,748.159973144531,2915.69995117188,730.340026855469,143.0,3940.0,0.0,58.0,3.05999994277954,271.835021972656,1030.5,-82.4300003051758,"2024-09-21 00:30:00"
267,8789.2998046875,8182.7998046875,616.22998046875,890.659973144531,2922.30004882813,719.510009765625,130.169998168945,3669.0,427.100006103516,46.0,1.92999994754791,99.3748931884766,599.159973144531,-78.2160034179688,"2024-09-21 12:30:00"
279,7240.5,7280.7001953125,-45.314998626709,1771.19995117188,2922.80004882813,910.169982910156,359.329986572266,1211.0,0.0,68.0,68.0100021362305,-763.320007324219,776.77001953125,-82.515998840332,"2024-09-22 00:30:00"
291,6764.0,7815.7998046875,-1045.5,1832.0,2919.5,882.659973144531,305.0,468.5,295.0,51.0,32.4599990844727,-729.0,-257.399993896484,-69.7789993286133,"2024-09-22 12:30:00"
